rawJoystickX	Switch 2	Wii
0	-100	-125
1	-100	-125
2	-100	-125
3	-100	-125
4	-100	-124
5	-100	-123
6	-100	-122
7	-100	-121
8	-100	-120
9	-100	-119
10	-100	-118
11	-100	-117
12	-100	-116
13	-100	-115
14	-100	-114
15	-100	-113
16	-100	-112
17	-100	-111
18	-100	-110
19	-100	-109
20	-100	-108
21	-100	-107
22	-100	-106
23	-100	-105
24	-100	-104
25	-100	-103
26	-100	-102
27	-100	-101
28	-100	-100
29	-100	-99
30	-100	-98
31	-100	-97
32	-100	-96
33	-100	-95
34	-100	-94
35	-100	-93
36	-100	-92
37	-100	-91
38	-100	-90
39	-100	-89
40	-100	-88
41	-100	-87
42	-100	-86
43	-100	-85
44	-100	-84
45	-100	-83
46	-100	-82
47	-100	-81
48	-100	-80
49	-100	-79
50	-100	-78
51	-100	-77
52	-100	-76
53	-100	-75
54	-100	-74
55	-100	-73
56	-100	-72
57	-100	-71
58	-98	-70
59	-96	-69
60	-94	-68
61	-92	-67
62	-91	-66
63	-89	-65
64	-87	-64
65	-85	-63
66	-83	-62
67	-82	-61
68	-80	-60
69	-78	-59
70	-76	-58
71	-74	-57
72	-73	-56
73	-71	-55
74	-69	-54
75	-67	-53
76	-66	-52
77	-64	-51
78	-62	-50
79	-60	-49
80	-58	-48
81	-57	-47
82	-55	-46
83	-53	-45
84	-51	-44
85	-49	-43
86	-48	-42
87	-46	-41
88	-44	-40
89	-42	-39
90	-41	-38
91	-39	-37
92	-37	-36
93	-35	-35
94	-33	-34
95	-32	-33
96	-30	-32
97	-28	-31
98	-26	-30
99	-24	-29
100	-23	-28
101	-21	-27
102	-19	-26
103	-17	-25
104	-16	-24
105	-14	-23
106	-12	-22
107	-10	-21
108	-8	-20
109	-7	-19
110	-5	-18
111	-3	-17
112	-1	-16
113	0	-15
114	0	-14
115	0	-13
116	0	-12
117	0	-11
118	0	-10
119	0	-9
120	0	-8
121	0	-7
122	0	-6
123	0	-5
124	0	-4
125	0	-3
126	0	-2
127	0	-1
128	0	0
129	0	1
130	0	2
131	0	3
132	0	4
133	0	5
134	0	6
135	0	7
136	0	8
137	0	9
138	0	10
139	0	11
140	0	12
141	0	13
142	0	14
143	0	15
144	1	16
145	3	17
146	5	18
147	7	19
148	8	20
149	10	21
150	12	22
151	14	23
152	16	24
153	17	25
154	19	26
155	21	27
156	23	28
157	24	29
158	26	30
159	28	31
160	30	32
161	32	33
162	33	34
163	35	35
164	37	36
165	39	37
166	41	38
167	42	39
168	44	40
169	46	41
170	48	42
171	49	43
172	51	44
173	53	45
174	55	46
175	57	47
176	58	48
177	60	49
178	62	50
179	64	51
180	66	52
181	67	53
182	69	54
183	71	55
184	73	56
185	74	57
186	76	58
187	78	59
188	80	60
189	82	61
190	83	62
191	85	63
192	87	64
193	89	65
194	91	66
195	92	67
196	94	68
197	96	69
198	98	70
199	100	71
200	100	72
201	100	73
202	100	74
203	100	75
204	100	76
205	100	77
206	100	78
207	100	79
208	100	80
209	100	81
210	100	82
211	100	83
212	100	84
213	100	85
214	100	86
215	100	87
216	100	88
217	100	89
218	100	90
219	100	91
220	100	92
221	100	93
222	100	94
223	100	95
224	100	96
225	100	97
226	100	98
227	100	99
228	100	100
229	100	101
230	100	102
231	100	103
232	100	104
233	100	105
234	100	106
235	100	107
236	100	108
237	100	109
238	100	110
239	100	111
240	100	112
241	100	113
242	100	114
243	100	115
244	100	116
245	100	117
246	100	118
247	100	119
248	100	120
249	100	121
250	100	122
251	100	123
252	100	124
253	100	125
254	100	125
255	100	125
