frame,support_len,confidence_sum
0,130,124.827404
1,10,9.874829
2,9,8.853211
3,9,7.297131
4,10,8.103406
5,9,7.287037
6,11,8.913190
7,8,6.485850
8,9,7.295906
9,10,8.095019
10,10,8.112748
11,8,6.516495
12,10,8.139751
13,9,7.320812
14,10,8.146679
15,10,8.145705
16,10,8.142995
17,9,7.302784
18,10,8.105046
19,9,7.287047
20,10,8.084501
21,9,7.265444
22,10,8.076150
23,9,7.317859
24,9,8.637842
25,9,8.657689
26,9,8.721212
27,10,9.717162
28,10,9.631485
29,10,9.711027
30,10,9.681584
31,10,9.665169
32,9,8.694905
33,11,9.799548
34,9,8.015387
35,11,10.666203
36,9,8.581525
37,10,9.663300
38,9,8.654407
39,11,9.354379
40,9,8.130550
41,10,9.498128
42,10,8.855926
43,10,9.798498
44,9,8.808755
45,9,8.740917
46,10,9.819722
47,9,8.834660
48,10,9.503333
49,10,9.815668
50,11,10.799837
51,8,7.862013
52,10,8.881869
53,9,8.317390
54,10,8.770903
55,9,7.864625
56,9,8.064080
57,9,8.788311
58,10,9.835582
59,10,9.617234
60,10,9.774247
61,11,10.550343
62,8,7.788600
63,9,8.679652
64,10,9.635481
65,9,8.719292
66,10,9.691720
67,9,8.023567
68,10,9.350876
69,9,8.729412
70,10,9.660258
71,11,10.720246
72,9,8.741378
73,10,9.753046
74,9,8.747875
75,9,8.767162
76,10,9.702924
77,10,9.611770
78,9,8.772325
79,10,9.238832
80,9,8.178410
81,9,8.397816
82,9,8.023280
83,8,7.831927
84,11,10.780855
85,8,7.835986
86,9,8.842697
87,9,8.628027
88,10,9.842472
89,9,8.466941
90,10,9.831404
91,8,7.687000
92,9,8.877022
93,8,7.889651
94,9,8.871709
95,9,8.008805
96,11,10.749595
97,8,7.776640
98,9,8.756625
99,9,8.849513
100,10,9.791446
101,8,7.883967
102,10,9.873477
103,9,8.836588
104,11,10.837150
105,8,7.881895
106,9,8.867414
107,8,7.115607
108,9,8.824301
109,8,7.830300
110,9,8.684823
111,9,8.870434
112,9,8.865396
113,10,9.638063
114,11,10.606316
115,9,8.680226
116,10,9.638091
117,10,9.635261
118,10,9.655908
119,10,9.841407
120,11,10.823024
121,9,8.815518
122,10,9.852328
123,10,9.805132
124,10,9.618250
125,11,10.791262
126,9,8.853197
127,11,10.768947
128,9,8.716628
129,10,9.674187
130,10,9.656247
131,10,9.877169
132,10,9.785856
133,11,10.814630
134,9,8.731883
135,10,9.698116
136,11,10.646466
137,9,8.911292
138,11,10.880825
139,9,8.883248
140,11,10.737915
141,10,9.651987
142,9,8.546080
143,9,7.930004
144,10,9.881922
145,9,8.907427
146,8,7.901989
147,9,8.893687
148,9,8.882729
149,9,8.013200
150,10,9.882581
151,10,9.789278
152,9,8.870368
153,9,8.810625
154,10,9.849120
155,9,8.928493
156,9,8.752992
157,10,9.702364
158,9,8.874752
159,11,10.799514
160,9,8.827787
161,9,7.971146
162,10,9.790990
163,9,8.850746
164,9,8.915931
165,9,8.894650
166,9,8.085916
167,8,7.225740
168,10,9.914207
169,9,8.862196
170,9,8.521957
171,11,10.767380
172,9,8.784991
173,8,7.847819
174,9,7.978552
175,10,9.276719
176,10,9.774712
177,9,8.865986
178,11,10.844811
179,8,7.852802
180,10,9.819114
181,9,8.864831
182,9,8.864831
183,9,8.888270
184,9,8.711959
185,9,8.860288
186,10,9.845177
187,11,10.766537
188,8,7.776576
189,8,7.077380
190,10,9.792465
191,10,9.818959
192,10,9.736218
193,9,8.725405
194,10,9.750851
195,9,8.670622
196,9,8.856459
197,9,8.673580
198,10,9.875424
199,9,8.855562
200,8,7.851086
201,9,8.521971
202,10,9.468034
203,9,8.449477
204,9,7.971071
205,10,9.886609
206,11,10.898454
207,8,7.930708
208,10,9.569227
209,8,7.914772
210,10,9.893530
211,11,10.761975
212,10,9.870051
213,8,7.898895
214,10,9.133853
215,9,8.042498
216,10,9.496951
217,10,9.421114
218,10,9.656173
219,9,8.836953
220,11,10.789016
221,8,7.784068
222,11,9.776012
223,8,7.109827
224,10,9.634256
225,9,8.646255
226,11,10.658809
227,8,7.750567
228,10,9.694928
229,10,9.670068
230,8,7.754425
231,11,10.716935
232,9,8.726938
233,10,8.102258
234,10,8.111034
235,11,8.939694
236,9,7.309040
237,9,7.296192
238,9,7.312632
239,9,7.322348
240,11,8.947861
241,10,8.137813
242,8,6.510624
243,10,8.130218
244,10,8.140836
245,9,7.322754
246,10,8.140736
247,10,8.151628
248,9,7.321995
249,10,8.142415
250,10,8.137696
251,9,7.290073
252,10,8.094053
253,10,8.089400
254,10,9.694002
255,9,8.725991
256,9,8.668455
257,9,8.884866
258,10,9.849554
259,10,9.576632
260,9,7.308064
261,9,7.310253
262,10,8.118832
263,9,7.300423
264,10,8.116501
265,10,8.120628
266,10,8.119601
267,9,7.307925
268,10,8.094109
269,11,8.939831
270,9,7.304524
271,10,8.108941
272,10,8.107082
273,9,7.285708
274,9,7.291321
275,9,7.300550
276,10,8.105469
277,11,8.930937
278,8,6.495366
279,10,8.116260
280,10,8.123065
281,10,9.615980
282,10,9.768538
283,11,10.711643
284,10,9.854849
285,8,7.822820
286,10,9.718853
287,9,8.683673
288,10,9.699635
289,10,9.693878
290,9,8.000000
291,9,7.987013
292,9,8.691772
293,9,8.709751
294,11,10.605753
295,9,8.821678
296,8,7.704625
297,10,9.237825
298,11,9.994576
299,8,7.752262
300,10,9.836489
301,10,9.787038
302,9,8.777895
303,10,9.905428
304,10,9.861827
305,9,8.912487
306,9,8.860847
307,10,9.765112
308,9,8.015425
309,10,9.809440
310,10,9.701248
311,9,8.554600
312,10,9.482994
313,9,8.676906
314,9,8.897658
315,10,9.532730
316,10,9.700705
317,9,8.756279
318,10,9.754047
319,10,9.774365
320,9,8.719181
321,8,7.795821
322,9,8.787466
323,9,8.008844
324,10,8.887283
325,9,8.842071
326,10,9.736825
327,9,8.825101
328,10,9.798320
329,9,8.896337
330,9,8.838951
331,10,9.782778
332,9,8.818286
333,11,10.739417
334,9,8.836592
335,9,8.887077
336,10,9.845078
337,9,8.752409
338,8,6.806471
339,9,7.565993
340,10,8.406039
341,9,7.570204
342,9,8.765979
343,9,8.721857
344,10,9.915714
345,9,8.578089
346,10,9.894217
347,9,8.664500
348,10,9.884294
349,9,8.855006
350,8,7.914973
351,11,9.770392
352,9,8.011098
353,9,8.774594
354,10,9.836617
355,9,8.713111
356,9,8.845705
357,8,7.761150
358,10,9.705399
359,9,8.762629
360,10,9.868103
361,9,8.903977
362,9,8.840220
363,9,7.984456
364,10,9.837735
365,8,7.862088
366,9,8.716165
367,9,8.876593
368,10,9.800013
369,10,9.872515
370,10,9.724852
371,10,9.637300
372,10,9.635953
373,10,9.613362
374,11,10.571248
375,10,9.638714
376,10,9.684342
377,9,8.881132
378,11,10.880341
379,10,9.890349
380,9,8.901803
381,10,9.836021
382,10,9.837428
383,10,9.579370
384,10,9.629357
385,11,10.572655
386,10,9.610055
387,10,9.593093
388,10,9.611672
389,9,8.695560
390,10,9.666310
391,11,10.620798
392,9,8.683922
393,10,9.662447
394,10,9.654933
395,10,9.859131
396,10,9.817477
397,10,9.787126
398,10,9.811163
399,9,8.851806
400,10,9.854007
401,9,8.880491
402,10,9.788650
403,9,8.887690
404,10,9.888992
405,9,7.992303
406,10,9.893508
407,9,8.823143
408,10,9.880851
409,10,9.795735
410,9,8.833694
411,9,8.911423
412,10,9.794316
413,9,8.826283
414,10,9.852993
415,9,8.891663
416,10,8.867251
417,9,7.982984
418,10,9.379262
419,9,8.680001
420,9,8.920568
421,10,9.770213
422,10,9.870402
423,8,7.792222
424,9,8.911722
425,8,7.877829
426,9,8.541523
427,10,9.828287
428,10,9.762049
429,8,7.817281
430,9,7.996159
431,8,7.304688
432,10,9.252281
433,9,8.829152
434,10,9.810316
435,9,8.832690
436,9,8.822929
437,10,9.830000
438,10,9.820097
439,10,9.828365
440,10,9.837568
441,10,9.763068
442,9,8.766570
443,9,8.884487
444,9,7.982679
445,10,8.860029
446,10,9.802860
447,9,8.804136
448,9,8.700248
449,9,8.869544
450,10,9.833191
451,10,9.790795
452,9,8.793551
453,9,8.797940
454,10,9.568994
455,8,7.885375
456,10,9.625378
457,9,8.272700
458,11,10.591347
459,8,7.896228
460,9,7.987017
461,11,10.887886
462,9,8.916551
463,10,9.897664
464,10,9.559765
465,9,7.840128
466,9,7.978993
467,10,8.400474
